Municipio;Cod_Municipio;Provincia;Cod_Provincia;Cod_INE;Población;Mancomunidades;Entidades Locales Menores;Comarca;Longitud;Latitud;CoordenadaX;CoordenadaY;Posición;presencia_de_comercio
VILLAFRANCA MONTES DE OCA;431;BURGOS;09;09431;115;OCA-TIRÓN;OCON DE VILLAFRANCA;;-3.309278;42.388353;474542.66;4692942.39;42.388352999060544,-3.309278;0
VILLALBA DE DUERO;438;BURGOS;09;09438;707;RIBERA DEL DUERO-COMARCA DE ROA;;;-3.743865;41.682696;438089.61;4614814.51;41.6826959990629,-3.7438650000000004;0
VILLAMAYOR DE TREVIÑO;444;BURGOS;09;09444;64;PEÑA AMAYA;;;-4.119665;42.459856;407942.13;4701442.85;42.45985599906034,-4.119665000000001;0
ZAEL;480;BURGOS;09;09480;117;VIRGEN DE MANCILES;;;-3.823192;42.10978;431942.25;4662292.97;42.1097799990614,-3.8231920000000006;0
ZARZOSA DE RÍO PISUERGA;482;BURGOS;09;09482;34;BOEDO-OJEDA;;;-4.26807;42.536209;395867.01;4710092.81;42.536208999060115,-4.26807;0
ALMANZA;4;LEÓN;24;24004;596;ZONA DE SAHAGUN;CABRERA DE ALMANZA,CALAVERAS DE ABAJO,CALAVERAS DE ARRIBA,CANALEJAS,CASTROMUDARRA,ESPINOSA DE ALMANZA,LA VEGA DE ALMANZA,VILLAVERDE DE ARCAYOS;;-5.035873;42.658876;333141.42;4724943.97;42.65887599905979,-5.035873;0
CARUCEDO;41;LEÓN;24;24041;511;BIERZO SUROESTE;BAROSA,CARRIL,CARUCEDO,LA CAMPAÑANA,LAGO DE CARUCEDO,LAS MÉDULAS,VILLARRANDO;COMARCA DE EL BIERZO;-6.764367;42.49019;190628.37;4711073.64;42.49018999906025,-6.764367000000001;0
CASTROCALBÓN;46;LEÓN;24;24046;940;CABRERA-VALDERIA;CALZADA DE LA VALDERÍA,CASTROCALBÓN,FELECHARES DE LA VALDERÍA,SAN FÉLIX DE LA VALDERÍA;;-5.986089;42.198951;253459.97;4676183.37;42.19895099906111,-5.986088999999999;0
CIMANES DEL TEJAR;55;LEÓN;24;24055;737;ALTO ÓRBIGO,DEPURACIÓN DEL ALTO ÓRBIGO;ALCOBA DE LA RIBERA,AZADÓN,CIMANES DEL TEJAR,SECAREJO,VELILLA DE LA REINA,VILLARROQUEL;;-5.806214;42.618004;269850.49;4722214.0;42.618003999059894,-5.806214;0
CUADROS;61;LEÓN;24;24061;2057;LEÓN Y ALFOZ;CABANILLAS,CAMPO Y SANTIBÁÑEZ,CASCANTES DE ALBA,CUADROS,LA SECA DE ALBA,LORENZANA,VALSEMANA;;-5.638963;42.71095;283890.77;4732094.13;42.71094999905964,-5.638963;0
DESTRIANA;66;LEÓN;24;24066;441;COMARCA DE LA BAÑEZA;DESTRIANA,ROBLEDINO,ROBLEDO DE LA VALDUERNA;;-6.094235;42.325936;245042.93;4690603.59;42.32593599906071,-6.094235;0
FRESNO DE LA VEGA;73;LEÓN;24;24073;478;SUR DE LEÓN (MANSURLE);;;-5.536156;42.344061;291090.37;4691093.49;42.34406099906068,-5.536156000000001;0
SOTO Y AMÍO;167;LEÓN;24;24167;770;OMAÑA-LUNA;BOBIA,CAMPOSALINAS,CANALES,CARRIZAL DE LUNA,GARAÑO,IRIÁN,LAGO DE OMAÑA,QUINTANILLA,SANTOVENIA DE SAN MARCOS,SOTO Y AMÍO,VILLACEID,VILLAYUSTE;;-5.88647;42.775636;263866.48;4739941.33;42.77563599905948,-5.88647;0
TORENO;169;LEÓN;24;24169;3017;;LIBRÁN,PARDAMAZA,PRADILLA,SAN PEDRO MALLO,SANTA MARINA DEL SIL,TOMBRÍO DE ABAJO,TOMBRÍO DE ARRIBA,TORENO,VALDELALOBA,VILLAR DE LAS TRAVIESAS;COMARCA DE EL BIERZO;-6.510576;42.697568;212444.7;4733209.0;42.697567999059686,-6.510576;0
VALDEFUENTES DEL PÁRAMO;176;LEÓN;24;24176;310;EL PÁRAMO;AZARES DEL PÁRAMO,VALDEFUENTES DEL PÁRAMO;;-5.831605;42.322012;266670.18;4689413.52;42.32201199906074,-5.831605000000001;0
VALDERAS;181;LEÓN;24;24181;1575;SUR DE LEÓN (MANSURLE);;;-5.445728;42.077659;297690.7;4661293.23;42.077658999061505,-5.445728;0
VEGAQUEMADA;199;LEÓN;24;24199;426;;CANDANEDO DE BOÑAR,LA DEVESA DE BOÑAR,LA LOSILLA Y SAN ADRIÁN,LA MATA DE LA RIBA,LLAMERA,LUGÁN,PALAZUELO DE BOÑAR,VEGAQUEMADA;;-5.332608;42.818818;309311.18;4743334.2;42.818817999059384,-5.3326080000000005;0
VILLAGATÓN;210;LEÓN;24;24210;636;LA CEPEDA;BRAÑUELAS,CULEBROS,LA SILVA,LOS BARRIOS DE NISTOSOS,MANZANAL DEL PUERTO,MONTEALEGRE,REQUEJO Y CORÚS,UCEDO,VALBUENA DE LA ENCOMIENDA,VILLAGATÓN;;-6.161846;42.634792;240751.0;4725108.07;42.63479199905984,-6.161846;0
VILLAMORATIEL DE LAS MATAS;217;LEÓN;24;24217;129;RIBERA DEL ESLA;GRAJALEJO DE LAS MATAS,VILLAMORATIEL DE LAS MATAS;;-5.303165;42.39626;310440.6;4696343.6;42.396259999060504,-5.303165;0
VILLAZANZO DE VALDERADUEY;229;LEÓN;24;24229;392;ZONA DE SAHAGUN;CARBAJAL DE VALDERADUEY,CASTRILLO DE VALDERADUEY,MOZOS DE CEA,RENEDO DE VALDERADUEY,VALDESCAPA,VELILLA DE VALDERADUEY,VILLADIEGO DE CEA,VILLAVELASCO DE VALDERADUEY,VILLAZANZO DE VALDERADUEY;;-4.964871;42.534941;338641.27;4711043.75;42.534940999060126,-4.9648710000000005;0
ALBA DE CERRATO;6;PALENCIA;34;34006;83;VALLES DEL CERRATO,ZONA CERRATO SUR;;;-4.365933;41.812498;386543.96;4629860.16;41.812497999062415,-4.365932999999999;0
AMAYUELAS DE ARRIBA;9;PALENCIA;34;34009;36;CAMPOS ZONA NORTE DEL CANAL DE CASTILLA,VILLAS DEL BAJO CARRIÓN Y UCIEZA;;;-4.48935;42.211614;377063.72;4674345.52;42.21161399906108,-4.48935;0
ARCONADA;15;PALENCIA;34;34015;43;CAMINO DE SANTIAGO;;;-4.497386;42.331152;376633.73;4687630.4;42.331151999060715,-4.497386;0
ASTUDILLO;17;PALENCIA;34;34017;1021;CANAL DEL PISUERGA;;;-4.29215;42.192786;393309.89;4671989.47;42.19278599906113,-4.29215;0
BARRUELO DE SANTULLÁN;27;PALENCIA;34;34027;1187;EL CARMEN;BARRUELO DE SANTULLÁN,BUSTILLO DE SANTULLÁN,CILLAMAYOR,MATABUENA,NAVA DE SANTULLÁN,PORQUERA DE SANTULLÁN,REVILLA DE SANTULLÁN,SANTA MARÍA DE NAVA,VERBIOS,VILLABELLACO,VILLANUEVA DE LA TORRE;;-4.288368;42.908212;394830.39;4751427.03;42.90821199905917,-4.288368;0
CASTIL DE VELA;48;PALENCIA;34;34048;58;CAMPOS,ZONA CAMPOS OESTE;;;-4.960472;41.982808;337591.26;4649726.43;41.98280799906181,-4.960471999999999;0
CERVATOS DE LA CUEZA;55;PALENCIA;34;34055;269;CAMINO DE SANTIAGO;CALZADILLA DE LA CUEZA,QUINTANILLA DE LA CUEZA;;-4.768952;42.291686;354168.3;4683677.67;42.29168599906082,-4.768951999999999;0
CEVICO DE LA TORRE;57;PALENCIA;34;34057;479;DEL CERRATO,ZONA CERRATO SUR;;;-4.410293;41.85242;382932.06;4634352.21;41.852419999062285,-4.410292999999999;0
COLLAZOS DE BOEDO;61;PALENCIA;34;34061;104;BOEDO-OJEDA,VALLE DEL BOEDO;COLLAZOS DE BOEDO,OTEROS DE BOEDO;;-4.483458;42.619909;378342.01;4719674.27;42.619908999059895,-4.483458000000001;0
CORDOVILLA LA REAL;63;PALENCIA;34;34063;98;CANAL DEL PISUERGA;;;-4.258792;42.080812;395881.01;4659515.39;42.08081199906149,-4.258791999999999;0
FRECHILLA;72;PALENCIA;34;34072;148;CAMPOS Y NAVA,VILLAS DE TIERRA DE CAMPOS;;;-4.83873;42.137055;348045.31;4666629.62;42.13705499906132,-4.83873;0
HONTORIA DE CERRATO;86;PALENCIA;34;34086;102;DEL CERRATO,ZONA CERRATO SUR;;;-4.443069;41.911204;380321.1;4640924.28;41.911203999062074,-4.443069;0
PEDROSA DE LA VEGA;126;PALENCIA;34;34126;288;COMARCA DE SALDAÑA;GAÑINAS DE LA VEGA,LOBERA DE LA VEGA,VILLARRODRIGO DE LA VEGA;;-4.74659;42.47994;356441.57;4704543.63;42.47993999906028,-4.74659;0
POBLACIÓN DE ARROYO;131;PALENCIA;34;34131;56;CAMPOS Y NAVA;ARROYO,POBLACIÓN DE ARROYO;;-4.874743;42.336825;345557.14;4688876.66;42.33682499906069,-4.874743;0
POBLACIÓN DE CAMPOS;132;PALENCIA;34;34132;135;AGUAS DEL OTERO,CAMINO DE SANTIAGO;;;-4.447758;42.270874;380608.74;4680866.45;42.27087399906089,-4.447757999999999;0
RENEDO DE LA VEGA;147;PALENCIA;34;34147;191;COMARCA DE SALDAÑA;MOSLARES DE LA VEGA,RENEDO DE LA VEGA,SANTILLÁN DE LA VEGA;;-4.702426;42.453894;360013.63;4701577.6;42.45389399906035,-4.702426;0
SAN MAMÉS DE CAMPOS;163;PALENCIA;34;34163;49;LA VALLARNA;;;-4.564381;42.353502;371159.71;4690211.49;42.35350199906063,-4.564380999999999;0
SANTOYO;174;PALENCIA;34;34174;188;AGUAS DEL OTERO,CANAL DEL PISUERGA;;;-4.343229;42.214751;389130.82;4674493.48;42.214750999061074,-4.343229;0
TÁMARA DE CAMPOS;180;PALENCIA;34;34180;74;AGUAS DEL OTERO,VILLAS DEL BAJO CARRIÓN Y UCIEZA;;;-4.3934;42.203255;384968.78;4673283.49;42.2032549990611,-4.393400000000001;0
TORREMORMOJÓN;184;PALENCIA;34;34184;47;ALCOR - CAMPOS;;;-4.777317;41.961474;352715.57;4647026.47;41.96147399906191,-4.777316999999999;0
VILLAHÁN;210;PALENCIA;34;34210;95;CANAL DEL PISUERGA,ZONA NORTE DEL CERRATO;;;-4.131063;42.05098;406402.19;4656055.29;42.0509799990616,-4.131063;0
VILLALCÁZAR DE SIRGA;215;PALENCIA;34;34215;168;CAMINO DE SANTIAGO;;;-4.542471;42.316965;372890.7;4686121.5;42.31696499906075,-4.542471000000001;0
VILLAMEDIANA;221;PALENCIA;34;34221;182;CANAL DEL PISUERGA;;;-4.363358;42.050401;387177.95;4656271.39;42.05040099906161,-4.363358;0
ADANERO;1;ÁVILA;05;05001;196;COMARCA DE LA MORAÑA,RIBERA DEL ADAJA;;;-4.603775;40.944236;365003.9;4533805.03;40.94423599906598,-4.603774999999999;0
ALBORNOS;5;ÁVILA;05;05005;172;COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-4.886271;40.835453;340963.64;4522203.14;40.83545299906648,-4.886271000000001;0
ALDEANUEVA DE SANTA CRUZ;7;ÁVILA;05;05007;113;BARCO Y PIEDRAHÍTA;;;-5.419593;40.38196;294609.69;4472963.05;40.38195999906875,-5.419593;0
ALDEASECA;8;ÁVILA;05;05008;219;AGUA LOS ARENALES,COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-4.817519;41.049202;347253.98;4545810.2;41.04920199906551,-4.817519;0
AMAVIDA;12;ÁVILA;05;05012;128;VALLE DE AMBLÉS;;;-5.061232;40.571482;325523.49;4493230.98;40.57148199906777,-5.061232;0
ARÉVALO;16;ÁVILA;05;05016;7881;AGUA LOS ARENALES,COMARCA DE LA MORAÑA;;;-4.718925;41.065505;355576.01;4547452.16;41.06550499906543,-4.718924999999999;0
ÁVILA;19;ÁVILA;05;05019;57949;;;;-4.697713;40.65587;356476.52;4501942.04;40.65586999906735,-4.697713;0
BARROMÁN;23;ÁVILA;05;05023;181;COMARCA DE LA MORAÑA,COMARCA DE MADRIGAL DE LAS ALTAS TORRES;;;-4.931357;41.06568;337726.98;4547845.26;41.06567999906543,-4.931357;0
BECEDAS;24;ÁVILA;05;05024;183;BARCO Y PIEDRAHÍTA;;;-5.634561;40.405156;276436.67;4476060.1;40.40515599906862,-5.634561000000001;0
BECEDILLAS;25;ÁVILA;05;05025;77;SIERRA DE ÁVILA;;;-5.330911;40.538627;302597.67;4490152.93;40.538626999067944,-5.330911;0
BLASCOMILLÁN;33;ÁVILA;05;05033;181;TIERRAS DE MORAÑA;;;-5.088727;40.801653;323803.55;4518838.14;40.80165299906665,-5.088727;0
BOHOYO;37;ÁVILA;05;05037;231;SIERRA DE GREDOS-CENTRAL;;;-5.442655;40.316655;292451.69;4465767.15;40.31665499906909,-5.442655000000001;0
BURGOHONDO;41;ÁVILA;05;05041;1231;SERVICIOS ALBERCHE-BURGUILLO;;;-4.785928;40.416143;348479.23;4475478.02;40.41614299906857,-4.785928;0
CABEZAS DEL VILLAR;44;ÁVILA;05;05044;257;AGUAS DE LA PRESA DE GAMONAL,SIERRA DE ÁVILA;;;-5.211887;40.716278;313174.55;4509615.04;40.71627799906707,-5.211886999999999;0
CABIZUELA;45;ÁVILA;05;05045;80;COMARCA DE LA MORAÑA,TIERRAS DE MORAÑA;;;-4.801294;40.90119;348278.76;4529350.12;40.90118999906618,-4.801294;0
CASAS DEL PUERTO;52;ÁVILA;05;05052;83;BARCO Y PIEDRAHÍTA;;;-5.198357;40.528569;313796.59;4488747.79;40.528568999067986,-5.198357;0
CASAVIEJA;54;ÁVILA;05;05054;1422;VALLE DEL TIÉTAR;;;-4.765808;40.279297;349883.14;4460252.99;40.27929699906928,-4.765808;0
