Municipio;Cod_Municipio;Provincia;Cod_Provincia;Cod_INE;Población;Mancomunidades;Entidades Locales Menores;Comarca;Longitud;Latitud;CoordenadaX;CoordenadaY;Posición;presencia_de_comercio
MADRIGALEJO DEL MONTE;197;BURGOS;09;09197;179;RIBERA DEL ARLANZA Y DEL MONTE;MONTUENGA;;-3.726002;42.125296;439992.2;4663942.84;42.12529599906135,-3.7260020000000003;0
MAMOLAR;201;BURGOS;09;09201;27;ALFOZ DE LARA;;;-3.36192;41.926617;469992.18;4641691.95;41.92661699906202,-3.3619199999999996;0
MANCILES;202;BURGOS;09;09202;22;PEÑA AMAYA;;;-3.94507;42.455801;422292.26;4700817.88;42.455800999060344,-3.9450699999999985;0
MECERREYES;208;BURGOS;09;09208;196;RIBERA DEL ARLANZA Y DEL MONTE;;;-3.573897;42.095533;452542.26;4660542.55;42.09553299906145,-3.573897;0
VILLAMURIEL DE CERRATO;225;PALENCIA;34;34225;6470;DEL CERRATO;;;-4.515428;41.947956;374392.1;4645108.37;41.94795599906194,-4.515428;0
VILLANUÑO DE VALDAVIA;228;PALENCIA;34;34228;92;COMARCA DE SALDAÑA;ARENILLAS DE NUÑO PÉREZ;;-4.517492;42.508884;375329.89;4707395.26;42.508883999060195,-4.517491999999999;0
VILLARRAMIEL;232;PALENCIA;34;34232;833;CAMPOS,ZONA CAMPOS OESTE;;;-4.910772;42.042367;341856.32;4656246.52;42.04236699906163,-4.910772;0
VILLASILA DE VALDAVIA;234;PALENCIA;34;34234;64;COMARCA DE SALDAÑA;;;-4.55906;42.53193;371961.89;4710016.36;42.53192999906012,-4.55906;0
VILLERÍAS DE CAMPOS;240;PALENCIA;34;34240;86;AGUAS CAMPOS-ALCORES,ALCOR - CAMPOS;;;-4.857862;41.944798;346000.42;4645316.43;41.94479799906195,-4.857862;0
VILLODRIGO;242;PALENCIA;34;34242;109;BAJO ARLANZA,CAMPOS DE MUÑÓ;;;-4.094317;42.144633;409576.21;4666414.28;42.144632999061294,-4.094317000000001;0
VILLOLDO;243;PALENCIA;34;34243;325;CAMINO DE SANTIAGO;VILLANUEVA DEL RÍO;;-4.598242;42.244029;368142.62;4678107.59;42.24402899906097,-4.598242;0
ALCONADA;12;SALAMANCA;37;37012;144;COMARCA DE PEÑARANDA;;;-5.36395;40.910879;300912.49;4531554.28;40.91087899906613,-5.363949999999999;0
ALDEARRODRIGO;19;SALAMANCA;37;37019;147;COMARCA DE LEDESMA;;;-5.806225;41.110365;264373.38;4554804.34;41.11036499906524,-5.806225;0
ALDEATEJADA;23;SALAMANCA;37;37023;2307;;;;-5.69272;40.92258;273261.38;4533654.24;40.92257999906609,-5.69272;0
ALDEHUELA DE LA BÓVEDA;25;SALAMANCA;37;37025;279;LAS DEHESAS;;;-6.048234;40.843677;243016.4;4525876.93;40.84367699906645,-6.048234;0
ALMENARA DE TORMES;27;SALAMANCA;37;37027;289;COMARCA DE LEDESMA;;;-5.822709;41.06319;262819.36;4549611.3;41.06318999906544,-5.822708999999999;0
ALMENDRA;28;SALAMANCA;37;37028;140;COMARCA DE LEDESMA;;;-6.340768;41.229708;219992.93;4569640.84;41.229707999064715,-6.340768;0
ARCEDIANO;33;SALAMANCA;37;37033;96;LA ARMUÑA;;;-5.560927;41.092458;284913.47;4552181.4;41.09245799906532,-5.560927;0
BAÑOBÁREZ;39;SALAMANCA;37;37039;287;COMARCA DEL ABADENGO;;;-6.612832;40.850093;195438.46;4528401.26;40.85009299906642,-6.612832;0
BERMELLAR;49;SALAMANCA;37;37049;133;COMARCA DEL ABADENGO;;;-6.67043;40.999271;191278.07;4545168.31;40.999270999065736,-6.67043;0
BERROCAL DE SALVATIERRA;51;SALAMANCA;37;37051;83;GUIJUELO Y SU ENTORNO COMARCAL,PANTANO DE SANTA TERESA;;;-5.690825;40.632252;272431.54;4501416.1;40.63225199906747,-5.690824999999999;0
BOGAJO;55;SALAMANCA;37;37055;134;VITIGUDINO,YELTES;;;-6.530994;40.906874;202593.33;4534424.43;40.90687399906615,-6.530993999999999;0
CABEZABELLOSA DE LA CALZADA;62;SALAMANCA;37;37062;75;LA ARMUÑA;;;-5.488905;41.043715;290808.49;4546594.4;41.04371499906552,-5.488905;0
CAMPILLO DE AZABA;74;SALAMANCA;37;37074;155;AGUAS ÁGUEDA-AZABA,ALTO ÁGUEDA;;;-6.688504;40.511101;187476.27;4491026.54;40.511100999068084,-6.688504;0
CANILLAS DE ABAJO;79;SALAMANCA;37;37079;80;COMARCA DE LEDESMA;;;-5.929728;40.921633;253298.33;4534191.1;40.921632999066084,-5.929728000000001;0
CANTAGALLO;80;SALAMANCA;37;37080;267;EMBALSE DE BÉJAR,RUTA DE LA PLATA;;;-5.818542;40.371632;260703.7;4472820.2;40.371631999068796,-5.818541999999999;0
CASTILLEJO DE MARTIN VIEJO;96;SALAMANCA;37;37096;211;PUENTE LA UNIÓN;;;-6.645077;40.70121;192031.82;4511982.29;40.701209999067125,-6.645077;0
CERRALBO;101;SALAMANCA;37;37101;131;COMARCA DEL ABADENGO;;;-6.587573;40.974011;198133.17;4542073.37;40.97401099906584,-6.587573000000001;0
CESPEDOSA DE TORMES;103;SALAMANCA;37;37103;518;ALTO TORMES;;;-5.580235;40.542947;281494.62;4491221.12;40.542946999067915,-5.580234999999999;0
CHAGARCÍA MEDIANERO;114;SALAMANCA;37;37114;64;AGUAS DE SANTA TERESA,ALTO TORMES;;;-5.382281;40.649707;298580.64;4502601.05;40.649706999067384,-5.382281;0
CILLEROS DE LA BASTIDA;104;SALAMANCA;37;37104;21;LAS DEHESAS;;;-6.060697;40.576171;240929.75;4496213.02;40.57617099906775,-6.0606969999999984;0
COLMENAR DE MONTEMAYOR;109;SALAMANCA;37;37109;177;EMBALSE DE BÉJAR,RUTA DE LA PLATA;;;-5.95693;40.39933;249055.79;4476279.26;40.39932999906865,-5.95693;0
EL CERRO;102;SALAMANCA;37;37102;397;RUTA DE LA PLATA;;;-5.915049;40.327831;252348.79;4468223.3;40.32783099906902,-5.915048999999999;0
EL CUBO DE DON SANCHO;113;SALAMANCA;37;37113;427;VITIGUDINO;;;-6.305649;40.892508;221516.38;4532086.76;40.89250799906622,-6.305648999999998;0
EL MANZANO;180;SALAMANCA;37;37180;65;CABEZA DE HORNO,COMARCA DE LEDESMA;;;-6.287236;41.174874;224250.03;4563380.88;41.17487399906496,-6.287235999999999;0
EL PEDROSO DE LA ARMUÑA;239;SALAMANCA;37;37239;217;ZONA DE CANTALAPIEDRA Y LAS VILLAS;;;-5.399403;41.080328;298443.58;4550448.46;41.08032799906537,-5.399403;0
ENCINA DE SAN SILVESTRE;120;SALAMANCA;37;37120;114;CABEZA DE HORNO,COMARCA DE LEDESMA;;;-6.091669;41.01476;240026.18;4545001.02;41.01475999906566,-6.091668999999999;0
ESCURIAL DE LA SIERRA;125;SALAMANCA;37;37125;241;GUIJUELO Y SU ENTORNO COMARCAL,LAS DEHESAS;;;-5.956718;40.615693;249879.65;4500300.01;40.61569299906754,-5.9567179999999995;0
FLORIDA DE LIÉBANA;129;SALAMANCA;37;37129;254;COMARCA DE LEDESMA;;;-5.761803;41.023011;267796.36;4544986.3;41.02301099906562,-5.7618030000000005;0
FRESNEDOSO;133;SALAMANCA;37;37133;101;RUTA DE LA PLATA;;;-5.709442;40.436275;270187.65;4479707.11;40.436274999068466,-5.709441999999999;0
FUENTES DE BÉJAR;139;SALAMANCA;37;37139;216;EMBALSE DE BÉJAR,PANTANO DE SANTA TERESA;;;-5.694303;40.507554;271713.61;4487581.09;40.5075539990681,-5.694303;0
FUENTES DE OÑORO;140;SALAMANCA;37;37140;1119;PUENTE LA UNIÓN;;;-6.81175;40.589462;177408.24;4500172.4;40.58946199906767,-6.811749999999998;0
GARCIRREY;149;SALAMANCA;37;37149;58;CAMPO CHARRO,LAS DEHESAS;;;-6.13059;40.90056;236298.3;4532437.91;40.90055999906619,-6.13059;0
HERGUIJUELA DE CIUDAD RODRIGO;157;SALAMANCA;37;37157;68;ALTO ÁGUEDA,BURGUILLOS;CESPEDOSA DE AGADONES;;-6.521435;40.458195;201400.12;4484572.81;40.458194999068354,-6.521435;0
HUERTA;164;SALAMANCA;37;37164;287;ZONA DE CANTALAPIEDRA Y LAS VILLAS;;;-5.468289;40.968265;292304.46;4538168.33;40.96826499906587,-5.4682889999999995;0
LA ATALAYA;37;SALAMANCA;37;37037;108;BURGUILLOS,RIBERAS DEL AGUEDA, YELTES Y AGADON;;;-6.413882;40.502433;210712.01;4489125.83;40.50243299906811,-6.413882000000001;0
LA BOUZA;56;SALAMANCA;37;37056;55;PUENTE LA UNIÓN;;;-6.794849;40.835423;180020.55;4527422.16;40.83542299906649,-6.794848999999999;0
LA HOYA;163;SALAMANCA;37;37163;29;RUTA DE LA PLATA;;;-5.699542;40.406872;270927.66;4476417.13;40.40687199906861,-5.699542;0
LA PEÑA;243;SALAMANCA;37;37243;87;;;;-6.518864;41.174234;204813.86;4564070.68;41.17423399906495,-6.518864;0
LARRODRIGO;169;SALAMANCA;37;37169;185;AGUAS DE SANTA TERESA,TIERRAS DEL TORMES;;;-5.449211;40.736364;293189.57;4512377.13;40.73636399906696,-5.449210999999999;0
LEDRADA;171;SALAMANCA;37;37171;466;EMBALSE DE BÉJAR,RUTA DE LA PLATA;;;-5.719471;40.46862;269447.63;4483324.11;40.46861999906829,-5.7194709999999995;0
LINARES DE RIOFRÍO;172;SALAMANCA;37;37172;938;GUIJUELO Y SU ENTORNO COMARCAL,LINARES DE RIOFRÍO Y SU ENTORNO;;;-5.921219;40.584127;252766.66;4496695.05;40.584126999067706,-5.921219;0
MATILLA DE LOS CAÑOS DEL RÍO;187;SALAMANCA;37;37187;639;LAS DEHESAS;;;-5.943105;40.825163;251811.44;4523518.0;40.82516299906654,-5.943105;0
MEMBRIBE DE LA SIERRA;189;SALAMANCA;37;37189;111;CUATRO CAMINOS,LINARES DE RIOFRÍO Y SU ENTORNO;NAVAGALLEGA;;-5.806229;40.690941;262878.52;4508237.07;40.69094099906719,-5.806228999999999;0
MONTEJO;200;SALAMANCA;37;37200;207;GUIJUELO Y SU ENTORNO COMARCAL,PANTANO DE SANTA TERESA;;;-5.622998;40.6314;278165.55;4501148.12;40.63139999906746,-5.622998;0
MONTEMAYOR DEL RÍO;201;SALAMANCA;37;37201;267;EMBALSE DE BÉJAR,RUTA DE LA PLATA;;;-5.892683;40.348921;254325.76;4470502.27;40.348920999068916,-5.892682999999999;0
NARROS DE MATALAYEGUA;211;SALAMANCA;37;37211;210;CUATRO CAMINOS,LAS DEHESAS;;;-5.926175;40.69975;252774.57;4509545.99;40.69974999906714,-5.926175;0
NAVACARROS;212;SALAMANCA;37;37212;121;RUTA DE LA PLATA;;;-5.71585;40.398356;269514.66;4475514.13;40.39835599906865,-5.715849999999999;0
OLMEDO DE CAMACES;223;SALAMANCA;37;37223;103;COMARCA DEL ABADENGO;;;-6.623887;40.879005;194639.39;4531650.24;40.87900499906628,-6.623887;0
PASTORES;233;SALAMANCA;37;37233;51;ALTO ÁGUEDA,BURGUILLOS;;;-6.509867;40.51471;202631.06;4490808.71;40.51470999906806,-6.509867;0
PEDRAZA DE ALBA;235;SALAMANCA;37;37235;222;TIERRAS DEL TORMES;;;-5.375053;40.754182;299505.58;4514183.1;40.75418199906687,-5.375053;0
PEÑACABALLERA;244;SALAMANCA;37;37244;138;RUTA DE LA PLATA;;;-5.860565;40.344433;257037.73;4469915.25;40.34443299906895,-5.860565;0
PITIEGUA;254;SALAMANCA;37;37254;186;LA ARMUÑA;;;-5.466117;41.061409;292779.52;4548504.42;41.06140899906545,-5.466117;0
POZOS DE HINOJO;257;SALAMANCA;37;37257;53;VITIGUDINO,YELTES;;;-6.410249;40.913622;212794.35;4534769.65;40.913621999066116,-6.410248999999999;0
PUERTO DE BÉJAR;263;SALAMANCA;37;37263;370;RUTA DE LA PLATA;;;-5.837014;40.350445;259059.72;4470518.23;40.350444999068905,-5.837014;0
ROLLÁN;271;SALAMANCA;37;37271;352;COMARCA DE LEDESMA;;;-5.916909;40.961931;254527.32;4538629.15;40.961930999065906,-5.916909;0
SAN PEDRO DEL VALLE;290;SALAMANCA;37;37290;132;COMARCA DE LEDESMA;;;-5.860953;41.033218;259496.34;4546388.26;41.03321799906558,-5.860952999999999;0
SANTIBÁÑEZ DE BÉJAR;297;SALAMANCA;37;37297;462;RUTA DE LA PLATA;;;-5.611754;40.487463;278642.64;4485140.11;40.4874629990682,-5.611754;0
SANTIBÁÑEZ DE LA SIERRA;298;SALAMANCA;37;37298;178;EMBALSE DE BÉJAR,ENTRESIERRAS;SANTA MARÍA DE LOS LLANOS;;-5.915348;40.494079;252932.7;4486681.14;40.494078999068165,-5.915347999999999;0
SAUCELLE;302;SALAMANCA;37;37302;275;CENTRO DUERO;;;-6.751371;41.047859;184700.97;4550853.39;41.04785899906552,-6.751370999999999;0
SEPULCRO-HILARIO;304;SALAMANCA;37;37304;157;LAS DEHESAS;;;-6.187375;40.70014;230704.66;4510357.85;40.700139999067126,-6.187374999999999;0
SERRADILLA DEL ARROYO;306;SALAMANCA;37;37306;248;RIBERAS DEL AGUEDA, YELTES Y AGADON;GUADAPERO;;-6.358477;40.521846;215489.97;4491100.85;40.52184599906801,-6.358476999999998;0
SOTOSERRANO;313;SALAMANCA;37;37313;553;EMBALSE DE BÉJAR,SIERRA DE FRANCIA;;;-6.032939;40.437792;242750.83;4480768.22;40.43779199906846,-6.032939;0
TEJEDA Y SEGOYUELA;320;SALAMANCA;37;37320;90;LAS DEHESAS;;;-6.023581;40.631938;244284.68;4502295.97;40.63193799906747,-6.023580999999999;0
TENEBRÓN;321;SALAMANCA;37;37321;135;RIBERAS DEL AGUEDA, YELTES Y AGADON;;;-6.355422;40.624347;216182.85;4502471.73;40.624346999067505,-6.355422;0
VALLEJERA DE RIOFRÍO;343;SALAMANCA;37;37343;69;;;;-5.720104;40.408336;269187.66;4476633.13;40.40833599906861,-5.720104000000001;0
VALSALABROSO;340;SALAMANCA;37;37340;133;VITIGUDINO;;;-6.501886;41.108839;205945.97;4556751.64;41.10883899906525,-6.501886;0
VILLARES DE LA REINA;362;SALAMANCA;37;37362;6491;;ALDEASECA DE ARMUÑA;;-5.649061;41.009096;277229.38;4543147.31;41.00909599906569,-5.649060999999999;0
VILLARMUERTO;366;SALAMANCA;37;37366;42;CABEZA DE HORNO,VITIGUDINO;;;-6.364307;41.054478;217267.14;4550259.75;41.05447799906549,-6.364307;0
VILLAVERDE DE GUAREÑA;372;SALAMANCA;37;37372;139;LA ARMUÑA;;;-5.525576;41.063768;287790.47;4548909.39;41.06376799906545,-5.525575999999999;0
ADRADA DE PIRÓN;2;SEGOVIA;40;40002;39;DOS VALLES,FUENTE DEL MOJON;;;-4.049899;41.051588;411770.06;4545014.75;41.0515879990655,-4.049899000000001;0
ALDEA REAL;12;SEGOVIA;40;40012;281;PINARES,RIO PIRON (MAMPI);;;-4.165102;41.18523;402287.09;4559973.95;41.18522999906491,-4.165102;0
ALDEALENGUA DE SANTA MARÍA;8;SEGOVIA;40;40008;61;NORDESTE;;;-3.467742;41.462154;460938.15;4590168.19;41.46215399906375,-3.4677419999999994;0
ALDEONTE;16;SEGOVIA;40;40016;56;LA PEDRIZA;;;-3.678549;41.351021;443236.62;4577946.98;41.35102099906422,-3.678548999999999;0
AÑE;18;SEGOVIA;40;40018;68;ERESMA;;;-4.295129;41.037447;391138.01;4543721.95;41.03744699906555,-4.295129;0
BARBOLLA;25;SEGOVIA;40;40025;139;LA PEDRIZA;;;-3.672204;41.32563;443745.57;4575123.96;41.3256299990643,-3.672203999999999;0
BASARDILLA;26;SEGOVIA;40;40026;168;DOS VALLES,FUENTE DEL MOJON;;;-4.024937;41.02723;413836.05;4542285.73;41.02722999906562,-4.0249369999999995;0
CALABAZAS DE FUENTIDUEÑA;37;SEGOVIA;40;40037;27;COMARCA DE LA CHURRERIA;;;-4.010101;41.445675;415623.22;4588725.44;41.445674999063826,-4.010100999999999;0
CARBONERO EL MAYOR;43;SEGOVIA;40;40043;2502;SEGOVIA CENTRO;;;-4.266111;41.122317;393714.06;4553107.99;41.122316999065184,-4.2661109999999995;0
CASLA;45;SEGOVIA;40;40045;159;LA SIERRA;;;-3.655505;41.166962;445010.25;4557498.77;41.16696199906498,-3.6555049999999993;0
CEREZO DE ARRIBA;54;SEGOVIA;40;40054;134;LA SIERRA;;;-3.558063;41.236916;453234.44;4565207.71;41.23691599906469,-3.558063;0
CILLERUELO DE SAN MAMÉS;55;SEGOVIA;40;40055;34;NUESTRA SEÑORA DE HORNUEZ;;;-3.566516;41.431241;452666.93;4586785.55;41.43124099906388,-3.566516;0
CUÉLLAR;63;SEGOVIA;40;40063;9620;LAS LOMAS;ARROYO DE CUÉLLAR,CAMPO DE CUÉLLAR,CHATÚN,LOVINGOS;;-4.317391;41.403698;389882.94;4584410.23;41.403697999063986,-4.317391;0
DOMINGO GARCÍA;68;SEGOVIA;40;40068;32;RIBERAS DEL VOLTOYA;;;-4.377907;41.115018;384316.04;4552440.1;41.11501799906521,-4.377907;0
DURUELO;70;SEGOVIA;40;40070;190;LA SIERRA;;;-3.647931;41.236853;445703.37;4565252.86;41.23685299906469,-3.647931;0
ESCALONA DEL PRADO;73;SEGOVIA;40;40073;498;PINARES;;;-4.122777;41.166626;405810.1;4557861.9;41.16662599906498,-4.122777;0
ESCOBAR DE POLENDOS;75;SEGOVIA;40;40075;168;DOS VALLES;;;-4.13094;41.090844;405016.06;4549457.83;41.09084399906532,-4.13094;0
ESPIRDO;77;SEGOVIA;40;40077;1452;ERESMA,FUENTE DEL MOJON;;;-4.074144;40.99774;409659.01;4539061.75;40.997739999065736,-4.074144;0
FUENTEPELAYO;86;SEGOVIA;40;40086;804;PINARES;;;-4.176804;41.220791;401359.09;4563935.0;41.220790999064754,-4.176803999999999;0
GALLEGOS;93;SEGOVIA;40;40093;99;;;;-3.785968;41.074543;433973.13;4547329.7;41.0745429990654,-3.785968000000001;0
LA LASTRILLA;112;SEGOVIA;40;40112;4186;LA ATALAYA;;;-4.103757;40.968941;407127.98;4535895.76;40.968940999065865,-4.103757;0
LASTRAS DE CUELLAR;110;SEGOVIA;40;40110;335;PINARES;;;-4.10659;41.296819;407352.1;4572298.13;41.29681899906443,-4.10659;0
MARAZOLEJA;903;SEGOVIA;40;40903;103;ZORITA MANZO;;;-4.337512;40.961864;387446.92;4535384.92;40.96186399906589,-4.337512;0
MARAZUELA;118;SEGOVIA;40;40118;52;ZORITA MANZO;;;-4.36464;40.977977;385191.92;4537208.95;40.97797699906583,-4.364639999999999;0
MATA DE CUÉLLAR;124;SEGOVIA;40;40124;259;CEGA,RIO ERESMA;;;-4.47219;41.398668;376933.87;4584060.17;41.398667999064,-4.47219;0
MATABUENA;123;SEGOVIA;40;40123;183;;;;-3.756594;41.095702;436461.16;4549656.72;41.0957019990653,-3.7565940000000007;0
MEMBIBRE DE LA HOZ;127;SEGOVIA;40;40127;35;COMARCA DE LA CHURRERIA;;;-4.098739;41.448015;408222.17;4589075.44;41.44801499906381,-4.098739;0
SANDO;283;SALAMANCA;37;37283;116;CABEZA DE HORNO,COMARCA DE LEDESMA;;;-6.111699;40.96691;238152.21;4539747.96;40.966909999065884,-6.111699;0
SANTIZ;299;SALAMANCA;37;37299;253;COMARCA DE LEDESMA;;;-5.894784;41.204207;257283.35;4565467.32;41.204206999064816,-5.894783999999999;0
SEQUEROS;305;SALAMANCA;37;37305;240;SIERRA DE FRANCIA;;;-6.024664;40.512343;243736.78;4489021.11;40.51234299906807,-6.024663999999999;0
TARAZONA DE GUAREÑA;317;SALAMANCA;37;37317;288;ZONA DE CANTALAPIEDRA Y LAS VILLAS;;;-5.251454;41.171954;311135.7;4560289.44;41.17195399906496,-5.251454;0
TRABANCA;328;SALAMANCA;37;37328;174;;;;-6.384016;41.233027;216381.9;4570149.81;41.2330269990647,-6.384016;0
VALDEFUENTES DE SANGUSIN;331;SALAMANCA;37;37331;188;EMBALSE DE BÉJAR,ENTRESIERRAS;;;-5.83151;40.466036;259938.66;4483336.14;40.4660359990683,-5.831509999999999;0
VALDELACASA;333;SALAMANCA;37;37333;211;EMBALSE DE BÉJAR,ENTRESIERRAS;;;-5.763881;40.505838;265811.62;4487573.1;40.505837999068106,-5.763881;0
VALDUNCIEL;338;SALAMANCA;37;37338;103;COMARCA DE LEDESMA;;;-5.672072;41.085897;275555.4;4551733.38;41.08589699906535,-5.672072;0
VALVERDÓN;342;SALAMANCA;37;37342;277;COMARCA DE LEDESMA;;;-5.769559;41.046612;267227.36;4547627.31;41.04661199906551,-5.769558999999999;0
VEGA DE TIRADOS;345;SALAMANCA;37;37345;159;COMARCA DE LEDESMA;;;-5.886289;41.026163;257340.32;4545675.24;41.02616299906561,-5.886288999999999;0
VILLAFLORES;351;SALAMANCA;37;37351;260;ZONA DE CANTALAPIEDRA Y LAS VILLAS;;;-5.233754;41.083543;312368.68;4550435.45;41.083542999065365,-5.233754;0
VILLAR DE ARGAÑÁN;356;SALAMANCA;37;37356;91;PUENTE LA UNIÓN;;;-6.718957;40.673669;185658.94;4509186.25;40.67366899906726,-6.718956999999999;0
VILLAR DE LA YEGUA;359;SALAMANCA;37;37359;162;PUENTE LA UNIÓN;;;-6.704103;40.724886;187154.8;4514820.19;40.72488599906702,-6.704103;0
VILLARES DE YELTES;363;SALAMANCA;37;37363;111;LAS DEHESAS,YELTES;;;-6.413192;40.867252;212345.43;4529630.65;40.86725199906633,-6.413192;0
VILLARINO DE LOS AIRES;364;SALAMANCA;37;37364;789;ARRIBES DEL DUERO;;;-6.467725;41.269717;209527.8;4574500.79;41.26971699906454,-6.467724999999998;0
VILLASBUENAS;367;SALAMANCA;37;37367;181;CENTRO DUERO;;;-6.594966;41.062029;197913.97;4551872.49;41.06202899906545,-6.594965999999999;0
VILLASECO DE LOS GAMITOS;369;SALAMANCA;37;37369;134;CABEZA DE HORNO,COMARCA DE LEDESMA;;;-6.112712;41.036628;238343.17;4547492.01;41.036627999065566,-6.112712;0
VILVESTRE;350;SALAMANCA;37;37350;411;CENTRO DUERO;;;-6.725837;41.104559;187116.85;4557057.49;41.10455899906526,-6.725836999999999;0
ZAMARRA;378;SALAMANCA;37;37378;82;BURGUILLOS,RIBERAS DEL AGUEDA, YELTES Y AGADON;VILLAREJO;;-6.452052;40.519238;207550.02;4491117.76;40.51923799906803,-6.452051999999998;0
AGUILAFUENTE;4;SEGOVIA;40;40004;557;PINARES;;;-4.111942;41.227948;406806.1;4564657.99;41.22794799906472,-4.111942;0
ALDEANUEVA DEL CODONAL;10;SEGOVIA;40;40010;116;RIBERAS DEL VOLTOYA;;;-4.543344;41.083402;370363.99;4549163.11;41.083401999065345,-4.543344;0
ALDEASOÑA;13;SEGOVIA;40;40013;62;COMARCA DE LA CHURRERIA;;;-4.055672;41.471351;411851.22;4591621.48;41.47135099906372,-4.055672000000001;0
ARCONES;20;SEGOVIA;40;40020;171;;;;-3.724301;41.118501;439194.19;4552164.74;41.1185009990652,-3.7243009999999996;0
ARMUÑA;22;SEGOVIA;40;40022;246;ERESMA;CARBONERO DE AHUSÍN;;-4.318659;41.07786;389228.04;4548238.02;41.077859999065375,-4.318659;0
BERNUY DE PORREROS;31;SEGOVIA;40;40031;788;;;;-4.115976;41.000793;406145.0;4539444.77;41.00079299906573,-4.115975999999999;0
CARRASCAL DEL RIO;44;SEGOVIA;40;40044;150;LA PEDRIZA;;;-3.89817;41.367534;424883.28;4579947.25;41.36753399906414,-3.89817;0
CASTROSERRACÍN;51;SEGOVIA;40;40051;45;LA PEDRIZA;;;-3.803069;41.392332;432862.49;4582622.2;41.392331999064034,-3.803069;0
COLLADO HERMOSO;59;SEGOVIA;40;40059;129;;;;-3.917706;41.038573;422864.06;4543444.71;41.03857299906555,-3.917706;0
COZUELOS DE FUENTIDUEÑA;902;SEGOVIA;40;40902;120;COMARCA DE LA CHURRERIA;;;-4.095285;41.391336;408431.13;4582779.33;41.391335999064054,-4.095285;0
DONHIERRO;69;SEGOVIA;40;40069;85;RIBERAS DEL VOLTOYA,RIO ERESMA;;;-4.694293;41.116645;357756.04;4553089.18;41.1166449990652,-4.694293;0
FRUMALES;81;SEGOVIA;40;40081;111;COMARCA DE LA CHURRERIA,PINARES;;;-4.187029;41.384211;400750.08;4582089.28;41.384210999064074,-4.187028999999999;0
FUENTE DE SANTA CRUZ;82;SEGOVIA;40;40082;108;RIO ERESMA,VEGA-PINARES;;;-4.63422;41.209381;362992.99;4563288.18;41.2093809990648,-4.63422;0
FUENTERREBOLLO;88;SEGOVIA;40;40088;332;TRES CRUCES;;;-3.932921;41.297367;421893.17;4572188.12;41.29736699906443,-3.932921;0
FUENTIDUEÑA;92;SEGOVIA;40;40092;132;;;;-3.98029;41.44151;418108.24;4588234.41;41.44150999906382,-3.9802899999999997;0
LANGUILLA;109;SEGOVIA;40;40109;70;NORDESTE;;;-3.424105;41.448983;464575.23;4588687.12;41.448982999063794,-3.424105;0
MADERUELO;115;SEGOVIA;40;40115;125;;;;-3.521901;41.487233;456432.04;4592978.26;41.48723299906366,-3.5219010000000006;0
EL MILANO;191;SALAMANCA;37;37191;99;CENTRO DUERO;;;-6.599243;41.09174;197690.91;4555186.53;41.09173999906532,-6.599243000000001;0
EL PINO DE TORMES;253;SALAMANCA;37;37253;158;COMARCA DE LEDESMA;;;-5.794097;41.038885;265137.36;4546835.3;41.03888499906556,-5.794097;0
EL TORNADIZO;325;SALAMANCA;37;37325;92;ENTRESIERRAS,GUIJUELO Y SU ENTORNO COMARCAL;;;-5.890615;40.542015;255203.66;4491934.09;40.542014999067916,-5.8906149999999995;0
ENCINAS DE ABAJO;121;SALAMANCA;37;37121;617;ZONA DE CANTALAPIEDRA Y LAS VILLAS;;;-5.470133;40.934232;292042.45;4534394.3;40.93423199906602,-5.470133000000001;0
ENCINASOLA DE LOS COMENDADORES;123;SALAMANCA;37;37123;157;CENTRO DUERO;;;-6.531365;41.031523;203122.07;4548266.52;41.03152299906559,-6.531364999999999;0
ESPINO DE LA ORBADA;128;SALAMANCA;37;37128;252;LA ARMUÑA;;;-5.424272;41.105982;296433.58;4553354.45;41.10598199906525,-5.424272;0
FORFOLEDA;130;SALAMANCA;37;37130;198;COMARCA DE LEDESMA;;;-5.7487;41.097063;269157.4;4553173.35;41.097062999065294,-5.7486999999999995;0
FRESNO ALHÁNDIGA;134;SALAMANCA;37;37134;196;CUATRO CAMINOS,PANTANO DE SANTA TERESA;;;-5.616224;40.71244;279006.5;4510128.17;40.71243999906709,-5.616224000000001;0
FUENTELIANTE;137;SALAMANCA;37;37137;97;COMARCA DEL ABADENGO,YELTES;;;-6.572727;40.875102;198933.4;4531039.33;40.87510199906629,-6.572727000000001;0
GALLEGOS DE ARGAÑÁN;145;SALAMANCA;37;37145;268;PUENTE LA UNIÓN;;;-6.702211;40.629954;186870.03;4504272.33;40.629953999067475,-6.702210999999999;0
GOMECELLO;152;SALAMANCA;37;37152;432;LA ARMUÑA;;;-5.535449;41.042574;286892.45;4546580.37;41.04257399906554,-5.535449;0
GUADRAMIRO;154;SALAMANCA;37;37154;133;CENTRO DUERO;;;-6.493611;41.016816;206231.13;4546505.56;41.01681599906565,-6.493610999999999;0
HERGUIJUELA DEL CAMPO;159;SALAMANCA;37;37159;69;GUIJUELO Y SU ENTORNO COMARCAL,LINARES DE RIOFRÍO Y SU ENTORNO;;;-5.863984;40.630408;257778.59;4501674.04;40.63040799906748,-5.863984;0
JUZBADO;167;SALAMANCA;37;37167;199;COMARCA DE LEDESMA;;;-5.862836;41.078285;259502.35;4551397.3;41.07828499906537,-5.862836;0
