Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
LE02|MANSILLA_MAYOR|2021-12-09|0.2|1.04|6.73|12.52|0.78|84.6|96.8|67.03|4.17|239.1|10.69|239.0|8.61
LE03|CUBILLAS_DE_LOS_OTEROS|2021-12-09|0.0|0.88|6.65|11.47|1.35|82.7|94.7|70.5|3.44|254.7|10.39|306.0|7.02
LE04|ZOTES_DEL_PÁRAMO|2021-12-09|0.0|0.94|7.42|11.6|1.64|78.1|89.4|67.54|2.92|290.8|9.8|277.7|6.28
LE05|QUINTANA_DEL_MARCO|2021-12-09|0.0|0.88|7.45|12.4|-0.56|78.42|96.3|65.89|2.58|271.9|9.54|308.0|6.41
LE06|HOSPITAL_DE_ORBIGO|2021-12-09|0.0|0.95|7.51|10.62|2.74|80.1|88.9|72.2|4.26|278.6|11.1|272.9|7.33
LE07|BUSTILLO_DEL_PÁRAMO|2021-12-09|0.0|0.79|7.0|10.9|1.85|89.6|100.0|75.6|4.78|267.8|11.43|259.7|7.07
LE08|SAHAGÚN|2021-12-09|34.2|1.03|6.04|12.04|0.87|82.2|95.3|61.42|2.93|268.4|10.09|291.3|6.59
LE09|SANTAS_MARTAS|2021-12-09|0.2|1.24|5.79|11.06|0.11|83.6|91.9|68.13|6.32|265.5|13.43|262.8|6.93
P01|TORQUEMADA|2021-12-09|0.59|1.08|6.19|10.85|1.07|83.8|94.5|71.6|5.05|238.7|11.49|261.6|2.98
P02|VILLAMURIEL_DE_CERRATO|2021-12-09|0.0|1.04|7.11|12.06|1.68|84.1|97.6|69.32|3.93|249.4|11.0|275.0|3.81
P03|FUENTES_DE_NAVA|2021-12-09|0.0|1.01|6.23|12.08|0.55|87.2|95.2|71.7|4.26|245.1|9.61|282.2|5.7
P04|VILLOLDO|2021-12-09|0.0|0.96|5.86|11.47|1.06|93.0|100.0|73.7|5.55|255.4|11.21|271.9|5.59
P06|HERRERA_DE_PISUERGA|2021-12-09|0.0|0.86|3.49|8.72|-1.39|87.4|95.8|74.6|5.49|251.3|11.49|264.7|5.47
P07|VILLALUENGA_DE_LA_VEGA|2021-12-09|0.4|0.66|5.13|11.76|-0.87|89.1|97.4|69.26|1.65|271.8|6.85|279.3|5.38
P08|LANTADILLA|2021-12-09|0.1|0.83|5.52|10.47|0.58|87.4|94.7|78.0|4.69|258.3|9.17|272.0|4.48
P101|VILLAELES_DE_VALDAVIA|2021-12-09|0.2|0.98|5.01|11.47|-0.42|85.3|94.1|69.64|4.07|71.92|10.86|95.4|6.97
SA01|CIUDAD_RODRIGO|2021-12-09|0.0|0.67|8.64|11.49|4.11|86.7|94.3|77.2|1.49|271.0|6.18|266.8|3.3
SA03|ALDEARRUBIA|2021-12-09|0.2|0.68|6.8|9.68|2.32|88.4|100.0|80.8|3.92|292.2|8.92|313.9|2.48
SA101|ARABAYONA|2021-12-09|0.0|0.52|5.81|8.84|1.95|87.6|95.6|81.3|1.03|188.3|1.6|196.1|2.97
SA102|EJEME|2021-12-09|0.0|0.72|6.59|9.52|2.15|87.8|95.2|80.3|3.37|68.19|8.69|78.9|2.75
SG01|GOMEZSERRACÍN|2021-12-09|0.6|0.46|6.21|9.32|2.75|97.3|100.0|90.8|3.46|247.3|8.44|268.7|1.19
SG02|NAVA_DE_LA_ASUNCIÓN|2021-12-09|0.1|0.21|6.33|9.7|2.78|100.0|100.0|100.0|6.06|262.6|12.41|294.1|2.13
SO01|ALMAZÁN|2021-12-09|1.01|0.56|4.67|7.39|0.64|92.3|97.4|86.7|5.73|284.8|11.36|290.5|2.25
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-12-09|2.05|0.96|6.2|9.06|2.24|82.9|92.5|77.8|6.39|267.2|11.99|275.8|2.0
SO03|FUENTECANTOS|2021-12-09|1.21|0.66|3.78|7.17|-0.42|90.0|94.6|82.8|5.71|248.4|12.55|253.0|3.84
SO101|HINOJOSA_DEL_CAMPO|2021-12-09|0.4|0.59|3.93|7.31|-0.35|91.9|97.5|85.2|6.19|261.9|12.93|247.5|2.88
VA01|MAYORGA|2021-12-09|0.0|1.09|6.68|11.91|1.97|80.7|93.2|66.67|3.96|259.6|11.5|268.9|6.94
VA02|TORRECILLA_DE_LA_ORDEN|2021-12-09|0.0|0.85|6.01|10.08|1.74|87.8|94.9|78.0|4.7|253.8|15.46|256.6|4.16
VA03|OLMEDO|2021-12-09|0.0|0.85|6.81|10.55|3.09|88.0|100.0|78.0|5.82|243.9|11.59|272.1|3.47
VA05|ENCINAS_DE_ESGUEVA|2021-12-09|0.81|0.81|5.85|10.81|0.9|85.0|91.3|77.9|3.14|239.6|7.64|246.9|2.93
VA06|TORDESILLAS|2021-12-09|0.0|0.93|7.78|11.4|4.25|82.5|89.2|75.5|2.97|263.1|8.85|300.6|2.03
VA07|VALBUENA_DE_DUERO|2021-12-09|0.59|0.88|6.48|10.15|2.19|82.1|89.4|76.7|3.58|281.6|8.93|276.7|3.17
VA08|MEDINA_DE_RIOSECO|2021-12-09|0.0|0.82|5.98|12.02|0.64|93.0|98.8|77.3|3.52|236.4|7.4|261.4|2.31
VA101|FINCA_ZAMADUEÑAS|2021-12-09|0.0|0.88|6.63|10.24|2.22|85.3|90.7|79.0|4.23|173.7|8.06|159.7|2.11
VA102|MEDINA_DEL_CAMPO|2021-12-09|0.0|1.04|7.05|11.03|3.37|83.6|89.5|73.45|4.12|75.94|11.02|122.0|3.76
VA103|RUEDA|2021-12-09|0.0|0.78|6.93|10.36|3.3|89.4|96.5|79.7|4.03|232.9|9.06|259.2|2.63
VA104|VILLALÃ³N_DE_CAMPOS|2021-12-09|0.1|1.01|5.97|12.02|0.55|91.1|100.0|72.98|5.5|237.9|13.1|273.7|5.9
ZA01|COLINAS_DE_TRASMONTE|2021-12-09|0.2|0.89|6.43|13.48|-1.3|85.2|100.0|62.32|1.73|262.9|7.46|312.2|3.45
ZA02|VILLARALBO|2021-12-09|0.0|0.91|7.63|11.76|3.22|86.8|95.2|74.0|4.07|236.0|9.47|224.9|7.45
ZA04|VILLALPANDO|2021-12-09|0.0|0.84|6.59|11.71|1.04|89.0|96.8|78.7|4.4|242.9|10.38|263.1|3.2
ZA05|POZUELO_DE_TÁBARA|2021-12-09|0.0|1.06|7.58|12.04|2.95|83.1|91.2|72.7|4.48|252.4|10.96|244.7|5.97
ZA06|BARCIAL_DEL_BARCO|2021-12-09|0.0|0.82|7.23|13.58|-0.11|83.4|96.7|64.06|1.69|227.5|5.41|259.4|5.41
ZA08|TORO|2021-12-09|0.0|1.01|7.8|12.03|2.74|84.8|93.3|73.7|4.33|248.1|11.14|261.5|4.96
AV01|NAVA_DE_ARÉVALO|2021-05-04|0.0|4.19|11.27|19.91|2.08|65.94|100.0|29.67|1.8|225.1|6.54|283.0|26.01
AV101|MUÑOGALINDO|2021-05-04|0.3|4.28|10.15|18.52|-0.39|65.67|100.0|36.04|2.24|101.5|6.55|141.8|28.85
BU02|VALLE_DE_VALDELUCIO|2021-05-04|0.0|4.45|10.12|19.02|2.96|68.72|98.9|29.65|2.88|348.8|8.96|21.77|26.45
BU03|LERMA|2021-05-04|1.62|3.81|10.78|19.74|0.9|71.5|100.0|32.11|0.77|216.7|4.22|283.2|27.33
BU04|TARDAJOS|2021-05-04|0.2|3.96|9.85|18.4|-0.6|72.1|98.2|34.89|1.73|244.0|7.7|252.4|26.95
BU05|VADOCONDES|2021-05-04|0.2|3.89|10.58|19.16|1.73|76.2|100.0|37.56|1.28|153.4|5.73|246.8|27.07
BU07|SANTA_GADEA_DEL_CID|2021-05-04|0.2|4.13|10.87|22.01|0.59|73.4|98.5|33.34|1.41|274.7|6.61|240.3|26.36
BU101|VALLE_DE_LOSA|2021-05-04|0.0|3.65|9.01|20.53|-1.37|80.2|96.3|43.8|0.92|277.1|7.35|290.4|26.79
BU102|CONDADO_DE_TREVIÑO|2021-05-04|0.0|4.15|11.07|21.5|1.08|70.55|97.7|34.25|1.3|208.71|3.67|96.03|27.62
LE01|CARRACEDELO|2021-05-04|0.0|4.64|13.12|23.43|1.2|61.24|97.0|17.46|1.55|312.3|7.65|338.2|26.27
LE02|MANSILLA_MAYOR|2021-05-04|0.2|4.53|11.81|21.08|1.58|64.76|100.0|19.49|1.58|269.6|7.65|262.1|28.14
LE03|CUBILLAS_DE_LOS_OTEROS|2021-05-04|0.0|4.64|12.21|21.34|2.95|63.12|95.2|23.57|1.97|302.0|7.55|281.1|27.12
LE04|ZOTES_DEL_PÁRAMO|2021-05-04|0.0|5.34|13.04|21.81|3.8|57.78|95.8|17.19|2.71|296.5|9.1|318.3|28.84
LE05|QUINTANA_DEL_MARCO|2021-05-04|0.0|5.18|12.88|22.92|2.32|58.1|96.7|18.15|2.32|304.5|7.57|313.7|27.69
LE06|HOSPITAL_DE_ORBIGO|2021-05-04|0.2|4.82|12.01|20.44|2.74|61.88|94.3|22.2|2.51|296.3|8.61|297.7|27.41
LE07|BUSTILLO_DEL_PÁRAMO|2021-05-04|0.2|4.63|11.79|19.97|2.17|66.45|100.0|26.18|2.68|171.8|8.57|171.8|26.63
LE08|SAHAGÚN|2021-05-04|0.0|4.41|12.12|20.17|2.43|60.73|96.1|21.42|1.4|293.9|5.31|296.2|28.7
LE09|SANTAS_MARTAS|2021-05-04|0.0|4.92|12.03|20.74|2.99|61.15|94.7|21.14|2.49|269.8|8.11|286.0|27.93
P01|TORQUEMADA|2021-05-04|0.2|4.06|10.37|19.77|0.01|68.57|98.0|24.28|1.33|257.1|6.29|280.1|26.84
P02|VILLAMURIEL_DE_CERRATO|2021-05-04|0.21|4.17|12.13|20.42|2.67|65.74|100.0|26.71|1.49|240.7|6.88|290.3|26.08
P03|FUENTES_DE_NAVA|2021-05-04|0.0|4.29|11.68|21.12|0.08|65.07|97.7|24.94|1.32|238.1|6.33|231.6|27.75
P04|VILLOLDO|2021-05-04|0.0|4.25|11.1|19.46|1.13|70.2|100.0|29.7|1.69|281.2|6.46|284.5|28.0
P06|HERRERA_DE_PISUERGA|2021-05-04|0.21|4.2|9.56|18.49|-0.65|66.94|100.0|27.31|2.01|293.7|7.9|276.1|27.54
P07|VILLALUENGA_DE_LA_VEGA|2021-05-04|0.0|4.17|11.57|18.64|3.34|64.7|94.7|28.75|1.36|290.5|6.54|184.9|28.35
P08|LANTADILLA|2021-05-04|0.0|4.19|10.65|19.02|0.98|67.87|98.3|30.01|1.72|297.5|6.45|273.0|27.83
P101|VILLAELES_DE_VALDAVIA|2021-05-04|0.0|4.45|10.04|18.31|0.12|66.78|96.5|33.6|2.34|112.37|5.02|61.73|30.71
SA01|CIUDAD_RODRIGO|2021-05-04|0.0|4.14|12.43|22.34|1.69|62.74|100.0|28.76|0.77|259.4|6.07|329.5|28.44
SA03|ALDEARRUBIA|2021-05-04|0.0|4.51|11.95|20.43|2.2|62.72|100.0|29.18|1.57|305.6|6.66|310.4|29.9
SA101|ARABAYONA|2021-05-04|0.0|4.23|12.66|19.62|4.26|48.05|80.9|21.36|0.79|194.1|1.63|177.5|29.77
SA102|EJEME|2021-05-04|0.0|4.76|12.4|21.46|0.2|55.75|97.8|25.33|1.68|75.49|6.19|95.4|30.38
SG01|GOMEZSERRACÍN|2021-05-04|1.59|4.2|11.0|19.7|1.27|68.31|100.0|29.78|1.42|170.5|6.37|291.5|28.38
SG02|NAVA_DE_LA_ASUNCIÓN|2021-05-04|0.1|3.91|10.51|19.79|-0.08|76.3|100.0|41.98|1.26|206.2|5.84|341.8|27.5
SO01|ALMAZÁN|2021-05-04|0.2|3.71|9.06|17.76|1.9|75.8|99.2|35.89|1.48|282.1|6.92|324.1|25.77
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-05-04|0.0|3.82|9.75|19.09|1.31|77.2|100.0|34.54|1.42|307.9|6.89|284.1|25.74
SO03|FUENTECANTOS|2021-05-04|0.2|3.59|8.54|17.42|-1.35|74.8|100.0|40.13|1.5|234.3|7.4|212.3|25.58
SO101|HINOJOSA_DEL_CAMPO|2021-05-04|0.2|3.39|10.1|17.5|2.26|75.9|100.0|41.19|1.87|270.9|8.29|237.0|21.25
VA01|MAYORGA|2021-05-04|0.0|4.46|12.21|21.18|2.04|62.6|97.4|21.52|1.54|232.0|5.89|247.1|27.57
VA02|TORRECILLA_DE_LA_ORDEN|2021-05-04|0.0|4.7|12.31|21.67|1.47|54.33|95.4|24.54|1.94|256.9|6.98|295.6|27.79
VA03|OLMEDO|2021-05-04|0.6|4.46|12.07|20.59|1.96|62.45|100.0|27.66|2.05|191.2|6.35|278.9|26.77
VA05|ENCINAS_DE_ESGUEVA|2021-05-04|0.0|3.43|10.13|19.8|0.83|72.5|95.3|33.74|1.15|196.8|5.23|226.7|21.58
VA06|TORDESILLAS|2021-05-04|0.0|4.52|13.27|22.4|3.52|57.02|97.9|21.27|1.42|283.5|6.45|251.9|27.17
VA07|VALBUENA_DE_DUERO|2021-05-04|0.2|4.42|11.63|21.06|3.11|63.93|93.9|24.27|1.76|328.6|7.79|315.9|26.21
VA08|MEDINA_DE_RIOSECO|2021-05-04|0.0|4.14|11.98|20.8|2.26|64.15|98.6|23.74|1.69|219.1|6.11|223.7|23.84
VA101|FINCA_ZAMADUEÑAS|2021-05-04|0.0|4.39|12.42|21.04|2.22|59.75|97.1|23.45|1.56|210.8|6.49|165.8|26.92
VA102|MEDINA_DEL_CAMPO|2021-05-04|0.4|4.9|13.1|21.35|2.63|55.2|96.8|23.73|2.11|88.0|8.1|83.1|29.32
VA103|RUEDA|2021-05-04|0.1|4.51|13.47|21.24|4.29|54.94|100.0|20.68|1.41|242.65|3.8|254.2|28.15
VA104|VILLALÃ³N_DE_CAMPOS|2021-05-04|0.0|4.29|11.68|20.27|2.06|66.75|100.0|29.45|1.95|231.11|4.26|244.1|26.13
ZA01|COLINAS_DE_TRASMONTE|2021-05-04|0.0|4.46|12.58|22.08|1.19|61.72|100.0|20.69|1.42|276.8|5.48|322.1|27.28
ZA02|VILLARALBO|2021-05-04|0.0|4.95|12.97|21.97|3.49|58.43|98.4|24.06|2.08|223.9|13.32|184.8|29.41
ZA04|VILLALPANDO|2021-05-04|0.0|4.43|11.46|21.84|-0.5|64.2|99.5|21.13|1.44|265.9|6.38|261.8|27.64
ZA05|POZUELO_DE_TÁBARA|2021-05-04|0.0|4.4|11.9|21.19|1.57|61.77|96.4|21.86|1.43|251.6|7.37|229.5|27.68
ZA06|BARCIAL_DEL_BARCO|2021-05-04|0.0|4.8|13.61|22.97|2.4|59.27|99.8|16.09|1.51|240.5|7.38|328.6|28.58
ZA08|TORO|2021-05-04|0.0|4.86|13.62|22.1|3.48|57.06|97.4|21.32|1.85|274.9|7.87|271.6|28.68
AV01|NAVA_DE_ARÉVALO|2021-01-13|0.59|0.55|-8.85|3.31|-14.74|84.4|99.9|58.06|1.35|188.1|3.13|168.9|10.82
AV101|MUÑOGALINDO|2021-01-13|0.0|0.78|-8.48|2.81|-17.28|76.36|95.9|46.92|1.98|95.9|3.7|92.3|11.17
AV102|LOSAR_DEL_BARCO|2021-01-13|0.0|1.34|-1.8|12.26|-14.41|67.94|92.3|19.3|1.35|0.0|3.24|0.0|11.49
BU02|VALLE_DE_VALDELUCIO|2021-01-13|0.0|0.34|-1.76|3.14|-6.37|95.0|100.0|72.7|0.84|275.0|2.91|255.5|7.58
BU03|LERMA|2021-01-13|0.0|0.3|-4.03|4.88|-8.17|96.2|99.6|76.0|0.27|233.5|2.05|300.9|5.78
BU04|TARDAJOS|2021-01-13|0.0|0.38|-1.22|6.42|-6.02|90.1|97.1|67.66|0.77|35.08|3.8|337.0|9.54
BU05|VADOCONDES|2021-01-13|0.8|0.24|-8.34|1.4|-14.3|94.3|100.0|78.5|0.31|235.2|2.63|286.9|9.15
BU07|SANTA_GADEA_DEL_CID|2021-01-13|0.0|0.46|0.66|8.25|-3.27|90.6|97.9|63.5|0.67|268.7|2.68|249.2|5.89
BU101|VALLE_DE_LOSA|2021-01-13|1.62|0.23|-3.33|8.0|-8.47|90.3|95.5|69.85|0.01|348.4|1.35|345.2|5.6
BU102|CONDADO_DE_TREVIÑO|2021-01-13|0.0|0.38|0.85|5.44|-1.58|89.7|96.3|72.99|0.52|216.85|1.36|278.39|5.04
LE01|CARRACEDELO|2021-01-13|0.0|0.27|-2.12|10.03|-8.66|79.4|93.2|38.82|0.21|106.5|1.5|224.1|9.25
LE02|MANSILLA_MAYOR|2021-01-13|0.0|0.4|-3.39|5.48|-9.59|91.1|100.0|62.92|0.85|34.26|3.1|181.4|9.23
LE03|CUBILLAS_DE_LOS_OTEROS|2021-01-13|0.0|0.42|-3.59|5.51|-8.86|86.0|96.3|57.93|0.76|57.56|3.16|232.6|9.09
LE04|ZOTES_DEL_PÁRAMO|2021-01-13|0.0|0.39|-3.37|5.47|-8.16|87.4|96.8|60.67|0.69|64.09|2.52|180.4|9.22
LE05|QUINTANA_DEL_MARCO|2021-01-13|0.0|0.34|-3.45|6.14|-9.45|87.3|98.4|58.76|0.44|6.6|2.7|120.5|8.98
LE06|HOSPITAL_DE_ORBIGO|2021-01-13|0.0|0.46|-2.66|5.9|-8.04|83.8|96.4|55.48|0.85|6.73|2.64|144.4|9.21
LE07|BUSTILLO_DEL_PÁRAMO|2021-01-13|0.0|0.51|-2.93|6.3|-8.76|87.3|100.0|55.19|0.96|15.75|2.78|82.2|8.37
LE08|SAHAGÚN|2021-01-13|0.2|0.42|-2.79|3.44|-7.0|94.4|100.0|70.0|0.94|340.2|2.6|53.97|4.51
LE09|SANTAS_MARTAS|2021-01-13|0.2|0.38|-2.94|2.85|-6.76|95.6|99.8|76.9|1.55|82.0|3.55|81.8|8.09
P01|TORQUEMADA|2021-01-13|0.0|0.26|-5.15|-0.2|-8.99|96.3|98.7|94.1|0.31|22.62|1.87|213.0|4.81
P02|VILLAMURIEL_DE_CERRATO|2021-01-13|0.0|0.29|-3.52|2.53|-7.7|96.3|100.0|83.6|0.75|61.69|3.14|309.8|8.3
P03|FUENTES_DE_NAVA|2021-01-13|0.2|0.29|-4.43|3.29|-9.59|95.4|97.9|84.0|0.3|69.56|2.72|43.17|4.84
P04|VILLOLDO|2021-01-13|0.2|0.28|-3.5|2.73|-8.16|99.5|100.0|90.2|0.77|4.12|2.62|24.42|5.38
P06|HERRERA_DE_PISUERGA|2021-01-13|0.0|0.36|-3.46|4.25|-8.04|93.0|100.0|71.0|0.81|333.9|3.52|206.0|7.67
P07|VILLALUENGA_DE_LA_VEGA|2021-01-13|0.0|0.27|-3.45|-0.28|-6.69|97.7|99.2|94.7|0.55|349.5|1.77|338.5|4.38
P08|LANTADILLA|2021-01-13|0.0|0.32|-3.56|3.96|-7.32|95.5|98.3|79.8|0.65|228.8|3.04|205.3|5.94
P101|VILLAELES_DE_VALDAVIA|2021-01-13|0.0|0.49|-3.06|4.39|-7.31|91.38|96.8|69.11|1.39|149.8|2.21|191.5|6.05
SA01|CIUDAD_RODRIGO|2021-01-13|0.0|0.52|-1.2|12.0|-8.34|88.6|100.0|42.17|0.4|230.2|2.7|296.8|10.26
SA03|ALDEARRUBIA|2021-01-13|0.0|0.35|-6.53|3.77|-12.61|86.8|99.7|54.64|0.44|87.0|2.81|106.8|10.52
SA101|ARABAYONA|2021-01-13|0.0|0.33|-5.22|0.24|-9.77|80.3|93.3|61.22|0.52|30.12|1.11|53.49|11.27
SA102|EJEME|2021-01-13|0.0|0.48|-7.59|4.28|-15.01|81.8|95.8|55.62|0.86|299.6|3.24|225.7|11.48
SG01|GOMEZSERRACÍN|2021-01-13|0.0|0.4|-5.86|6.48|-13.98|86.3|98.2|58.45|0.53|93.0|2.07|298.5|10.03
SG02|NAVA_DE_LA_ASUNCIÓN|2021-01-13|0.4|0.35|-8.94|4.21|-17.49|95.3|100.0|77.5|0.89|161.2|1.97|246.3|10.08
SO01|ALMAZÁN|2021-01-13|2.06|0.31|-6.2|2.52|-14.71|92.9|100.0|71.7|0.44|155.3|2.34|276.6|7.92
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-01-13|1.02|0.36|-7.55|4.7|-14.32|81.9|88.6|61.1|0.49|278.7|2.77|293.4|8.44
SO03|FUENTECANTOS|2021-01-13|0.0|0.37|-6.27|4.66|-13.3|84.0|98.2|57.7|0.54|132.7|1.92|204.4|8.55
SO101|HINOJOSA_DEL_CAMPO|2021-01-13|0.0|0.45|-3.61|4.0|-11.59|92.6|100.0|75.3|1.72|345.4|7.4|27.13|8.7
VA01|MAYORGA|2021-01-13|0.2|0.42|-3.47|5.46|-8.51|87.4|96.9|61.15|0.86|120.3|3.73|75.6|10.15
VA02|TORRECILLA_DE_LA_ORDEN|2021-01-13|0.0|0.48|-5.88|4.91|-11.64|85.2|93.9|55.26|0.78|180.4|2.8|43.72|9.58
VA03|OLMEDO|2021-01-13|0.0|0.67|-5.43|5.88|-12.36|81.0|92.5|55.75|1.44|143.5|4.71|138.1|9.99
VA05|ENCINAS_DE_ESGUEVA|2021-01-13|0.0|0.41|-4.83|7.05|-11.31|86.0|92.6|63.27|0.59|92.2|2.32|71.4|8.54
VA06|TORDESILLAS|2021-01-13|0.0|0.39|-3.47|5.98|-8.57|85.9|96.7|58.56|0.47|112.3|2.13|79.2|8.77
VA07|VALBUENA_DE_DUERO|2021-01-13|0.0|0.51|-3.65|7.31|-10.79|80.8|90.7|57.6|0.83|107.7|2.61|117.1|10.18
VA08|MEDINA_DE_RIOSECO|2021-01-13|0.21|0.4|-3.34|4.39|-8.33|91.7|100.0|70.0|0.98|58.38|2.98|64.45|8.97
VA102|MEDINA_DEL_CAMPO|2021-01-13|0.0|0.87|-4.96|8.82|-11.9|76.08|90.8|42.83|1.33|285.6|3.06|10.48|11.06
VA103|RUEDA|2021-01-13|0.0|0.4|-3.06|5.37|-8.28|82.6|94.7|57.17|0.57|106.2|2.68|46.84|10.42
VA104|VILLALÃ³N_DE_CAMPOS|2021-01-13|0.1|0.29|-4.3|3.89|-9.03|96.9|100.0|78.96|0.4|60.71|3.58|52.95|6.63
ZA01|COLINAS_DE_TRASMONTE|2021-01-13|0.0|0.33|-3.17|6.39|-9.12|87.6|100.0|53.56|0.36|280.3|2.15|160.0|9.18
ZA02|VILLARALBO|2021-01-13|0.0|0.4|-3.11|5.4|-8.66|89.8|99.9|64.59|0.7|112.5|2.68|42.68|10.2
ZA04|VILLALPANDO|2021-01-13|0.0|0.48|-3.38|6.76|-9.45|88.9|99.2|56.8|0.79|67.55|2.59|92.3|8.84
ZA05|POZUELO_DE_TÁBARA|2021-01-13|0.0|0.32|-4.29|3.87|-9.98|87.4|96.3|65.2|0.45|201.9|2.68|94.8|9.13
ZA06|BARCIAL_DEL_BARCO|2021-01-13|0.0|0.3|-2.69|6.13|-8.02|90.5|100.0|60.39|0.29|134.3|2.05|0.09|9.4
ZA08|TORO|2021-01-13|0.0|0.34|-2.23|6.39|-7.17|85.6|97.4|58.21|0.34|2.93|1.75|81.0|9.81
AV01|NAVA_DE_ARÉVALO|2021-01-06|0.0|0.49|-3.07|4.23|-8.82|85.7|100.0|55.64|1.09|111.3|4.7|13.64|9.71
AV101|MUÑOGALINDO|2021-01-06|0.0|0.69|-3.59|2.84|-8.82|80.7|94.9|49.13|1.99|182.4|5.04|270.8|12.05
BU02|VALLE_DE_VALDELUCIO|2021-01-06|0.41|0.35|-1.93|3.61|-6.09|88.7|99.9|53.08|0.76|82.0|3.97|33.43|7.87
BU03|LERMA|2021-01-06|0.0|0.29|-2.8|5.22|-7.76|84.9|98.2|48.15|0.35|83.3|3.17|349.7|8.05
BU04|TARDAJOS|2021-01-06|0.0|0.38|-1.44|3.81|-4.95|86.9|97.1|55.8|0.7|50.09|3.23|313.6|7.08
BU05|VADOCONDES|2021-01-06|0.0|0.33|-3.47|4.74|-8.68|88.9|100.0|49.92|0.45|108.9|3.18|15.69|8.5
BU07|SANTA_GADEA_DEL_CID|2021-01-06|1.4|0.37|0.12|5.93|-5.5|90.9|97.9|66.66|0.77|290.0|2.37|263.8|6.79
BU101|VALLE_DE_LOSA|2021-01-06|2.03|0.13|-2.69|5.89|-10.54|92.1|96.4|73.2|0.01|331.4|1.35|155.2|8.29
BU102|CONDADO_DE_TREVIÑO|2021-01-06|0.0|0.19|-0.69|5.18|-6.55|87.7|97.0|65.82|0.11|0.02|2.68|0.0|7.24
LE01|CARRACEDELO|2021-01-06|0.0|0.29|-2.72|0.72|-5.59|94.6|96.7|84.0|0.37|203.2|2.17|145.4|3.12
LE02|MANSILLA_MAYOR|2021-01-06|0.0|0.36|-1.87|5.5|-7.46|87.6|100.0|53.69|0.57|33.67|2.21|95.7|6.92
LE03|CUBILLAS_DE_LOS_OTEROS|2021-01-06|0.0|0.38|-2.34|4.11|-7.13|84.5|97.1|57.13|0.79|51.05|2.93|61.98|7.63
LE04|ZOTES_DEL_PÁRAMO|2021-01-06|0.0|0.5|-2.25|5.75|-6.53|85.5|96.5|50.23|0.97|43.02|3.13|72.2|8.05
LE05|QUINTANA_DEL_MARCO|2021-01-06|0.0|0.36|-1.97|5.4|-6.37|84.9|98.7|49.37|0.6|347.4|2.7|6.38|8.44
LE06|HOSPITAL_DE_ORBIGO|2021-01-06|0.0|0.5|-1.48|4.69|-6.02|80.8|96.1|50.02|1.07|358.8|3.79|22.06|7.71
LE07|BUSTILLO_DEL_PÁRAMO|2021-01-06|0.0|0.5|-2.1|3.98|-6.96|82.5|98.0|51.19|1.1|20.4|3.33|73.4|7.05
LE08|SAHAGÚN|2021-01-06|0.2|0.43|-0.87|4.8|-4.53|81.2|99.7|52.62|0.97|44.81|3.86|137.4|8.45
LE09|SANTAS_MARTAS|2021-01-06|0.2|0.53|-1.16|4.38|-5.49|86.5|99.5|52.08|1.47|71.2|3.62|56.13|8.95
P01|TORQUEMADA|2021-01-06|0.0|0.42|-2.18|5.18|-6.39|85.3|96.0|51.79|0.67|12.44|3.01|64.06|7.02
P02|VILLAMURIEL_DE_CERRATO|2021-01-06|0.21|0.44|-1.39|5.19|-6.04|83.1|97.1|50.59|0.8|81.9|2.91|315.9|8.01
P03|FUENTES_DE_NAVA|2021-01-06|0.0|0.31|-1.44|5.82|-5.7|84.7|97.2|49.79|0.42|61.72|3.52|38.51|8.42
P04|VILLOLDO|2021-01-06|0.0|0.44|-1.36|4.01|-5.8|89.3|100.0|54.58|1.13|63.52|3.26|68.99|8.7
P06|HERRERA_DE_PISUERGA|2021-01-06|0.0|0.34|-2.08|3.39|-5.91|88.1|100.0|61.32|0.67|30.04|2.75|33.43|6.56
P07|VILLALUENGA_DE_LA_VEGA|2021-01-06|0.2|0.34|-1.19|4.34|-4.69|87.3|97.6|58.15|0.59|357.8|2.8|30.31|6.99
P08|LANTADILLA|2021-01-06|0.0|0.32|-0.87|4.14|-4.14|85.8|96.9|57.06|0.6|53.59|3.14|45.28|8.09
P101|VILLAELES_DE_VALDAVIA|2021-01-06|0.0|0.52|-1.91|4.12|-4.56|85.63|95.4|55.85|1.29|158.93|2.5|172.0|6.74
SA01|CIUDAD_RODRIGO|2021-01-06|0.0|0.59|-1.37|7.46|-8.73|82.02|100.0|33.67|0.76|26.24|5.07|45.56|9.77
SA03|ALDEARRUBIA|2021-01-06|0.2|0.52|-2.8|3.98|-9.86|84.9|100.0|62.45|1.58|71.1|5.33|58.15|9.59
SA101|ARABAYONA|2021-01-06|0.0|0.3|-3.05|2.73|-7.35|82.8|94.1|64.12|0.54|16.7|1.4|26.47|10.73
