Código|Ubicación|Fecha (AAAA-MM-DD)|Precipitación (mm)|ETo (P.Monteith mm)|Temperatura media (ºC)|Temperatura máxima (ºC)|Temperatura mínima (ºC)|Humedad relativa media (%)|Humedad relativa máxima (%)|Humedad relativa mínima (%)|Vel. viento media (m/s)|Dir. viento (º)|Vel. viento máxima (m/s)|Dir. viento racha máxima (º)|Radiación total diaria (MJ/m2)
SG02|NAVA_DE_LA_ASUNCIÓN|2021-06-21|0.3|3.36|13.57|19.15|7.04|80.7|100.0|46.53|2.74|265.9|7.98|283.7|16.37
SO01|ALMAZÁN|2021-06-21|0.8|2.54|12.84|18.91|6.26|74.8|96.0|44.43|1.4|271.0|7.42|291.8|11.14
SO02|SAN_ESTEBAN_DE_GORMAZ|2021-06-21|1.44|3.44|13.75|19.25|8.05|73.8|97.3|47.04|2.37|273.8|8.43|279.1|17.59
SO03|FUENTECANTOS|2021-06-21|0.0|3.25|11.84|17.1|6.11|78.1|97.6|53.31|2.28|241.3|7.75|280.5|19.31
SO101|HINOJOSA_DEL_CAMPO|2021-06-21|3.8|3.13|12.29|18.71|7.78|77.4|96.1|44.76|2.96|245.4|10.8|260.0|12.71
VA01|MAYORGA|2021-06-21|0.0|3.81|14.27|19.14|10.13|69.2|91.8|46.84|2.77|256.4|7.52|267.4|19.77
VA02|TORRECILLA_DE_LA_ORDEN|2021-06-21|2.81|3.51|13.99|19.75|9.49|71.5|96.7|46.62|2.91|253.5|8.41|260.2|16.36
VA03|OLMEDO|2021-06-21|1.22|3.36|13.72|19.47|9.02|75.0|100.0|45.6|3.2|234.4|8.2|240.7|14.66
VA05|ENCINAS_DE_ESGUEVA|2021-06-21|1.02|3.08|13.0|18.6|8.66|75.2|92.7|53.5|1.95|217.5|7.2|208.7|16.25
VA06|TORDESILLAS|2021-06-21|0.2|3.89|15.35|20.66|11.06|67.8|87.8|43.14|2.18|262.7|6.94|274.4|19.02
VA07|VALBUENA_DE_DUERO|2021-06-21|2.17|3.21|13.63|19.1|9.76|72.4|89.2|47.02|1.83|284.3|8.4|229.6|15.85
